pdwrk,agea,gndr,agepnt,ttminpnt,acchome,chldo12,hhlio12,marsts,domicil,hinctnta,health,hlthhmp,ipadvnt,hincfel,sclact,ipcrtiv,ipmodst,hincsrca,mnactp
1,62,1,666,6666,1,2,2,4,1,5,3,3,5,2,2,3,3,4,66
1,61,2,80,120,1,4,2,4,4,4,2,3,5,3,2,2,5,4,66
1,48,1,85,45,1,2,1,6,4,8,3,2,3,2,2,2,3,1,66
1,46,1,77,180,1,1,2,4,1,10,3,3,4,1,2,2,2,1,66
1,44,1,76,120,1,0,6,6,4,3,3,3,4,2,2,4,1,1,66
1,26,2,57,25,1,0,6,6,1,5,2,3,3,2,3,2,4,1,66
1,34,2,56,120,1,0,6,6,1,8,1,3,5,2,3,2,5,1,66
1,58,1,666,6666,0,3,2,66,1,4,3,3,2,3,3,4,4,4,66
1,33,1,62,3,1,0,6,6,2,9,2,3,2,2,3,3,5,1,1
1,58,1,85,45,1,0,6,66,3,8,3,3,5,2,3,4,2,1,66
1,50,2,85,300,1,1,1,4,3,6,2,3,5,2,4,1,5,1,66
1,43,2,71,25,1,2,1,66,1,10,1,3,5,2,3,3,4,1,66
1,61,2,666,6666,1,0,6,66,5,5,3,2,5,2,3,4,3,1,66
1,42,1,66,180,1,0,6,6,5,8,2,3,4,2,3,3,2,1,66
0,49,2,75,150,1,1,1,66,1,5,2,3,4,3,3,2,4,8,66
1,43,1,70,60,1,0,6,6,1,6,2,3,3,2,3,4,3,1,66
1,42,2,67,4320,1,1,1,66,3,9,2,3,5,3,1,5,5,1,66
0,21,2,52,45,1,0,6,6,1,4,3,1,3,1,1,2,2,6,66
1,49,2,666,6666,1,2,1,6,5,8,3,3,6,2,2,2,2,1,66
1,56,2,666,6666,1,3,2,66,4,9,3,2,5,2,3,5,3,1,66
1,56,1,85,40,1,3,2,66,4,8,3,3,4,2,2,3,3,1,66
1,48,2,80,3,1,1,1,6,1,2,2,3,5,2,2,1,2,2,66
1,60,2,84,15,1,2,2,4,3,2,4,1,4,4,1,3,4,1,66
1,50,1,79,60,1,2,1,6,3,8,3,3,5,2,2,3,4,1,66
1,43,2,66,25,1,1,2,4,1,3,3,3,4,1,2,1,3,1,66
1,44,1,63,660,1,1,1,66,3,9,2,3,3,1,3,2,5,2,66
1,48,1,666,6666,1,1,2,4,3,7,2,3,4,1,3,3,2,1,66
1,64,2,86,30,1,2,2,4,2,6,3,3,5,1,2,6,2,4,66
1,53,1,75,120,1,2,1,66,4,7,3,3,3,2,1,4,4,1,66
1,28,1,60,15,1,0,6,6,3,10,3,2,2,1,4,3,5,1,66
0,41,1,70,960,1,0,6,6,3,2,2,2,1,1,3,3,5,7,66
0,42,2,72,180,1,0,6,66,2,88,1,3,3,2,2,8,3,1,66
1,27,1,48,120,1,0,6,6,1,5,2,3,4,2,1,4,4,1,66
0,65,1,666,6666,1,2,2,4,1,2,3,2,1,2,3,4,2,4,66
0,34,2,52,30,1,2,2,6,4,3,2,3,5,2,2,4,2,1,66
0,53,1,84,60,1,3,2,1,5,6,3,2,1,2,2,1,4,1,66
1,54,2,83,10,1,1,2,5,3,3,2,3,4,1,3,2,3,1,66
1,61,2,666,6666,1,1,2,66,2,5,3,3,3,3,2,3,1,1,66
1,39,2,59,240,1,2,1,6,3,10,2,3,5,2,3,3,4,1,66
1,57,2,666,6666,1,2,2,66,4,8,3,3,5,1,3,3,3,1,66
1,46,1,74,10,1,2,1,66,3,9,2,3,2,1,3,5,4,1,66
1,51,2,666,6666,1,1,1,77,1,4,2,3,5,2,2,2,4,1,66
1,33,1,60,5,1,0,6,66,4,8,1,3,5,2,3,2,2,1,99
0,53,1,75,60,1,0,6,6,5,1,3,3,3,2,8,5,5,6,66
1,32,1,64,20,1,0,6,6,3,4,1,3,3,2,2,3,2,1,66
0,63,1,666,6666,1,2,2,4,1,1,4,2,5,3,2,5,2,4,66
1,51,2,78,6666,1,2,2,6,4,9,2,3,4,2,2,3,3,4,99
1,38,2,61,150,1,0,6,6,1,9,3,2,3,2,3,3,4,1,66
1,40,1,64,180,1,0,6,1,1,3,2,3,5,2,2,1,2,1,66
0,38,2,61,10,1,0,6,66,3,7,3,2,5,1,1,2,2,1,66
1,53,2,666,6666,1,2,2,4,1,9,3,2,5,1,4,3,4,1,66
0,37,2,58,35,1,0,6,66,1,9,3,3,2,1,1,5,1,6,99
1,36,1,64,138,1,0,6,6,3,8,2,3,2,1,2,1,5,1,1
1,63,1,666,6666,1,2,1,66,1,8,3,3,5,2,2,4,2,1,66
0,33,2,59,10,1,0,6,6,1,6,2,3,5,2,1,3,2,6,66
1,42,2,62,240,1,1,1,6,2,9,2,3,2,2,4,3,5,1,99
1,30,2,51,35,1,0,6,4,4,9,1,3,3,2,3,3,1,1,1
1,53,1,73,10,1,1,2,66,4,9,2,3,3,2,2,3,1,1,66
1,42,1,72,720,1,1,1,66,1,10,2,3,5,2,2,2,4,1,66
1,37,2,57,75,1,1,1,66,4,6,3,3,6,2,2,3,4,1,66
1,37,2,69,25,1,1,1,66,1,6,2,3,3,2,2,2,5,2,66
1,39,1,59,210,1,0,6,66,4,6,1,3,6,2,2,2,3,1,66
0,65,2,85,20,1,0,6,66,1,5,4,2,5,3,1,4,2,4,66
0,48,2,82,30,1,1,2,6,1,10,2,3,3,1,5,3,5,5,66
1,21,1,41,10,1,0,6,6,3,7,1,3,2,2,4,2,2,1,66
1,52,1,81,30,1,2,2,6,3,4,3,3,4,2,3,3,3,1,66
1,22,2,53,6666,1,0,6,6,4,10,2,3,4,1,4,4,1,1,66
1,29,1,666,6666,1,0,6,6,3,4,2,3,2,1,3,1,3,2,66
1,54,2,82,30,1,2,2,5,5,3,2,3,5,2,3,6,5,1,66
0,59,1,666,6666,0,0,6,6,4,2,5,2,6,3,1,6,1,5,66
1,39,1,64,2,1,0,6,4,3,6,2,3,3,3,2,3,3,1,66
1,56,1,86,6666,1,2,1,4,1,7,2,3,2,2,3,3,4,1,66
0,44,1,73,240,1,0,6,6,4,1,2,3,5,3,2,3,1,7,66
1,45,2,666,6666,1,2,2,6,4,6,2,3,5,2,2,1,2,1,66
0,22,2,41,180,1,0,6,6,1,1,2,3,1,2,3,2,4,7,66
1,35,1,69,20,1,0,6,6,1,8,3,2,5,1,3,3,2,1,66
1,26,1,52,10,1,0,6,6,1,6,1,3,4,2,3,3,4,1,66
1,37,2,65,30,1,1,1,66,1,10,1,3,3,1,3,1,3,1,66
1,46,1,65,60,1,0,6,66,3,8,3,3,3,2,3,3,3,1,66
1,61,2,666,6666,1,2,2,66,3,5,4,2,2,3,3,3,5,1,66
0,53,1,78,45,1,0,6,6,5,1,2,3,3,2,4,3,3,6,66
1,34,1,61,45,1,0,6,6,2,10,2,3,3,2,2,3,3,1,8
1,51,2,69,10,1,1,2,6,5,77,2,3,2,2,3,3,2,1,66
1,32,2,66,120,1,0,6,6,3,10,2,3,4,1,2,3,4,1,66
1,30,2,54,45,1,0,6,6,4,10,1,3,2,1,3,2,5,1,66
0,25,2,47,6,1,0,6,66,5,5,2,3,4,2,3,3,2,1,66
1,57,1,78,30,1,1,1,6,3,10,4,2,5,1,1,1,3,1,66
1,38,1,63,360,1,0,6,66,3,8,2,3,5,2,2,4,5,1,66
1,45,2,64,20,1,1,1,4,3,5,3,2,4,2,3,4,4,1,66
1,40,1,58,6666,1,0,6,6,4,4,3,1,5,3,1,3,3,1,66
1,55,2,79,30,1,0,6,6,1,5,2,3,4,2,4,2,4,1,66
1,40,2,63,60,1,0,6,6,1,8,1,3,3,1,3,2,3,1,66
1,30,2,55,6666,1,0,6,6,1,8,2,3,4,2,2,3,4,1,66
1,57,2,666,6666,1,1,1,66,1,7,3,3,4,2,2,2,1,1,66
1,61,1,666,6666,1,2,2,66,2,3,3,2,4,2,3,4,4,1,66
1,56,1,666,6666,1,1,1,66,1,6,3,3,3,3,2,4,2,1,66
1,35,1,59,30,1,0,6,6,3,5,3,2,2,1,1,2,2,1,66
1,53,2,76,10,1,0,6,4,3,6,3,2,1,2,3,1,6,1,66
1,28,1,55,720,1,0,6,6,3,6,1,3,3,3,2,2,5,1,66
1,19,2,38,10,1,0,6,6,3,7,2,3,2,1,2,4,1,1,66
1,20,2,64,60,1,0,6,6,1,4,2,3,3,3,2,1,2,1,66
1,32,2,58,5,1,0,6,66,4,8,1,3,6,2,2,4,3,1,66
1,65,1,666,6666,1,3,2,66,5,10,2,3,3,1,2,2,2,1,66
1,53,2,83,125,1,0,6,6,1,6,2,3,3,2,4,2,4,1,66
1,48,2,81,10,1,2,1,66,1,8,2,3,5,2,3,2,2,1,66
0,55,2,78,6666,1,2,2,1,1,3,3,2,6,2,3,5,2,4,66
0,57,2,90,60,1,3,2,4,4,1,1,3,4,2,4,1,3,8,66
1,39,1,666,6666,1,0,6,66,5,4,2,3,5,2,3,2,3,8,66
1,59,2,666,6666,1,2,2,4,1,5,2,3,4,1,2,2,3,1,66
0,47,1,77,30,1,1,1,6,5,5,4,1,6,4,2,3,1,5,66
1,27,1,55,360,1,0,6,6,3,2,2,2,5,1,3,4,3,1,66
0,43,2,65,6666,1,1,1,4,1,7,3,2,6,2,1,2,1,8,66
0,20,1,49,6666,1,0,6,6,4,5,2,2,1,1,3,4,1,1,66
1,64,2,84,150,1,3,2,66,1,10,2,3,1,2,1,1,4,1,1
1,49,2,70,5,1,1,2,1,1,3,2,3,3,3,3,4,3,1,66
1,51,1,666,6666,1,1,1,6,1,8,3,3,5,2,2,1,3,1,66
1,33,2,64,600,1,0,6,66,1,8,2,3,5,1,3,2,5,1,66
0,29,1,50,1,1,0,6,6,3,3,2,3,1,3,4,5,2,5,66
1,24,1,52,6666,1,0,6,66,2,5,2,3,2,2,2,3,3,1,66
1,43,1,66,90,1,1,1,66,2,10,2,3,4,1,2,3,2,1,1
1,59,2,666,6666,1,2,2,66,4,4,3,2,5,3,1,4,1,1,66
1,64,1,87,180,1,3,1,4,1,9,3,3,3,1,4,1,4,1,66
0,30,2,56,30,1,0,6,66,2,9,2,3,4,2,2,4,3,1,66
0,30,2,54,45,1,0,6,6,1,6,1,3,2,2,2,3,4,1,66
1,52,1,666,6666,1,4,2,4,2,7,2,3,5,2,3,4,3,1,99
1,59,1,666,6666,1,3,2,66,4,5,3,3,3,2,1,2,2,1,99
1,49,2,76,15,1,2,2,66,4,3,1,2,3,2,2,1,3,1,99
1,57,1,82,30,1,2,1,66,3,77,3,3,2,4,3,3,2,1,66
1,42,2,70,10,1,2,1,66,2,8,2,3,3,2,3,3,4,1,99
1,61,2,90,6666,1,1,1,66,3,9,3,3,5,2,8,1,5,1,99
0,65,2,666,6666,1,1,2,66,3,4,3,3,6,2,3,5,1,4,66
0,19,2,41,6666,1,0,6,6,5,10,3,2,2,1,2,3,2,3,66
1,36,2,72,90,1,0,6,6,5,6,2,3,4,2,3,3,2,1,66
1,21,2,47,6666,1,0,6,6,3,6,2,3,3,2,2,3,1,1,66
1,39,2,60,7,1,2,1,6,4,9,2,3,5,1,2,2,5,1,66
1,60,2,666,6666,1,1,1,5,1,4,3,3,4,3,2,4,2,1,66
1,32,1,57,6666,1,0,6,6,1,9,3,3,5,1,2,3,4,1,66
1,49,1,70,10,1,2,1,66,1,8,2,3,5,3,4,2,1,1,66
1,48,2,66,20,1,0,6,66,1,3,3,3,2,3,3,1,2,1,66
0,64,2,666,6666,1,0,6,6,2,2,3,3,3,2,3,1,2,4,66
1,37,2,666,6666,1,2,1,66,3,7,2,3,4,2,3,1,4,1,66
1,44,1,72,10,1,1,1,6,3,8,2,3,4,2,3,3,1,1,99
1,36,1,56,240,1,0,6,66,3,9,1,3,3,1,3,2,2,1,66
1,63,2,90,30,1,2,2,66,3,7,3,2,5,2,2,2,2,1,66
1,52,2,76,60,1,5,1,4,3,4,4,2,2,2,3,2,4,1,66
0,22,1,50,180,1,0,6,6,3,1,1,3,2,2,3,2,4,7,66
1,46,2,666,6666,1,4,1,66,3,8,1,3,5,1,2,3,1,1,66
1,51,1,666,6666,1,3,2,1,3,9,1,3,3,2,2,4,2,1,66
0,43,2,61,20,1,2,1,66,1,7,2,3,5,2,4,1,4,1,66
1,44,2,72,300,1,2,1,66,1,8,1,3,4,2,2,4,3,1,66
1,51,1,73,6666,1,0,6,6,5,8,3,2,2,2,2,6,1,1,66
0,41,2,60,180,1,2,1,4,2,5,3,2,4,3,2,4,1,6,66
1,64,1,666,6666,1,0,6,4,1,5,3,3,4,1,2,3,3,1,66
1,22,1,45,60,1,0,6,6,3,8,4,2,6,1,2,5,2,1,66
1,45,1,69,360,0,2,2,6,3,5,2,3,3,2,2,5,2,1,66
1,57,1,88,1,1,2,2,6,4,8,2,3,3,1,4,2,3,1,66
0,57,2,666,6666,1,3,2,6,4,2,4,2,5,3,1,4,2,5,66
1,59,2,82,180,1,4,2,4,3,5,3,2,5,2,2,5,2,1,66
1,61,1,666,6666,1,0,6,6,4,7,3,3,4,2,2,3,5,1,66
1,64,1,666,6666,1,4,2,66,3,8,3,2,3,2,2,4,2,4,66
1,28,1,55,30,1,0,6,6,1,9,2,3,3,1,3,2,1,1,66
1,45,2,666,6666,1,0,6,66,3,8,2,3,1,2,3,2,4,1,66
1,40,2,67,300,1,1,1,6,3,6,1,3,3,2,5,1,2,1,66
1,35,1,58,30,1,0,6,66,1,10,2,3,5,1,2,2,5,7,66
1,48,1,70,60,1,2,1,6,2,10,1,3,4,1,2,4,3,1,66
0,33,1,55,30,1,0,6,4,1,3,3,3,2,3,3,4,3,8,66
1,28,2,61,35,1,0,6,66,2,9,2,3,2,1,3,3,5,1,66
1,57,1,75,20,1,1,2,66,1,7,3,3,5,4,3,4,3,1,66
1,60,2,666,6666,1,2,2,66,3,8,1,3,2,2,4,1,4,1,66
1,59,1,90,6666,1,4,2,6,3,3,3,3,3,2,3,2,2,1,66
1,61,2,666,6666,1,1,1,66,3,5,4,1,4,2,2,3,1,1,66
1,52,2,76,5,1,2,1,66,2,9,5,1,4,3,4,3,2,1,99
1,45,2,75,6666,1,2,1,66,1,9,3,3,5,1,2,5,4,1,66
1,60,2,666,6666,1,2,2,4,3,4,3,2,6,2,3,5,3,1,66
1,31,2,55,5,1,0,6,66,3,10,2,3,5,2,3,1,2,1,99
1,57,1,87,30,1,3,2,66,3,10,3,3,3,2,3,3,3,1,66
1,23,1,54,60,1,0,6,6,5,9,2,3,2,1,2,2,3,1,66
1,40,2,70,5,1,1,1,66,5,4,1,3,3,2,4,2,2,1,66
0,30,2,55,10,1,0,6,6,4,1,3,2,4,4,1,3,4,6,66
1,62,2,83,720,1,1,2,4,1,1,2,3,5,3,2,5,1,2,66
1,54,1,72,30,1,1,1,66,1,77,2,3,4,2,3,2,4,1,66
1,27,2,56,6666,1,0,6,66,3,10,1,3,6,2,2,5,4,1,99
0,29,2,60,5,1,0,6,6,4,5,1,3,3,1,3,2,5,1,66
1,44,2,666,6666,1,1,1,6,3,6,3,3,5,2,1,3,3,1,66
1,60,1,90,120,1,3,2,4,1,6,3,3,2,1,1,3,3,2,66
1,33,1,51,30,1,0,6,66,2,8,2,3,5,2,3,2,1,1,66
0,21,1,53,6666,1,0,6,6,4,6,2,3,3,3,3,2,2,6,66
1,30,2,63,15,1,0,6,6,3,9,1,3,2,2,4,2,5,1,99
1,42,2,64,10,1,1,1,6,3,4,3,3,5,2,1,5,2,1,66
1,63,1,666,6666,1,2,2,66,4,5,2,3,4,2,4,2,5,2,66
1,56,2,666,6666,1,1,2,66,1,5,2,3,1,1,3,2,3,1,66
1,24,1,60,40,1,0,6,6,1,5,3,3,5,2,3,5,3,1,66
1,47,2,66,80,1,1,1,4,3,7,2,3,4,1,4,4,3,1,66
1,28,2,49,10,1,0,6,6,3,9,2,2,2,2,3,3,2,1,66
0,64,2,666,6666,1,1,2,66,3,7,3,2,6,2,2,6,1,4,66
1,51,1,76,210,1,0,6,6,1,10,2,3,5,1,4,3,2,1,66
1,34,2,55,15,1,0,6,6,3,4,2,3,3,2,2,4,3,1,66
0,27,2,53,180,1,0,6,6,2,6,2,3,5,3,2,5,1,6,99
1,40,1,68,120,1,0,6,6,3,9,1,3,5,1,3,4,6,1,66
1,59,1,86,6666,1,3,2,66,1,6,3,3,1,2,3,3,2,1,66
1,31,2,63,50,1,1,1,6,3,6,1,3,4,2,2,2,3,1,66
1,41,2,68,120,1,0,6,6,1,9,3,3,5,2,2,4,3,1,66
1,35,1,58,30,1,0,6,66,4,9,2,2,2,2,2,2,5,1,66
1,31,1,63,120,1,0,6,6,1,7,2,3,2,1,4,3,3,1,66
1,36,1,74,6666,1,0,6,6,1,6,2,3,4,2,3,2,4,1,66
1,35,1,59,10,1,0,6,6,4,7,1,3,4,2,2,2,1,1,1
1,60,2,666,6666,1,3,2,5,4,5,3,3,5,2,3,4,2,1,66
0,18,1,59,6666,1,0,6,6,4,6,3,2,5,3,1,5,2,1,66
1,31,1,67,30,1,0,6,6,1,5,2,3,5,2,2,2,5,1,66
0,61,2,87,6666,1,0,6,6,4,4,4,2,3,3,1,3,2,4,66
1,32,1,57,20,1,0,6,66,1,8,2,3,3,2,2,2,4,1,66
1,55,1,80,10,1,2,1,4,3,3,2,2,3,3,2,3,3,1,66
0,39,2,64,1800,1,0,6,66,1,5,4,1,5,2,2,4,1,1,66
1,36,1,58,5,1,2,2,66,4,7,2,3,1,1,3,1,6,1,66
1,42,1,65,90,1,2,1,66,1,9,2,3,3,2,3,4,2,1,66
1,65,2,666,6666,1,2,2,66,4,8,3,2,4,2,4,3,3,1,66
1,23,1,66,6666,1,0,6,6,1,7,2,3,3,2,2,3,3,1,99
0,26,2,66,360,1,0,6,66,2,8,1,3,4,2,4,3,4,1,66
1,62,1,666,6666,1,3,2,4,1,4,4,1,1,2,3,1,1,4,66
1,65,2,90,360,1,1,2,4,2,5,2,3,4,2,2,4,2,1,66
1,61,2,666,6666,1,3,2,5,3,4,3,3,5,2,2,5,2,1,66
1,61,2,666,6666,1,1,2,6,3,4,2,3,4,2,2,3,5,1,66
1,48,2,666,6666,1,3,1,66,4,8,2,3,5,2,3,4,3,1,66
1,30,1,51,7,1,0,6,66,1,9,1,3,3,2,2,2,4,1,66
1,55,1,666,6666,1,1,2,66,3,7,3,3,5,2,4,5,4,1,66
1,45,2,666,6666,1,2,1,66,4,9,1,3,5,1,3,3,5,1,66
0,64,2,666,6666,1,6,2,66,3,4,2,3,4,2,2,1,2,4,66
1,47,1,666,6666,0,0,6,6,4,8,2,3,3,2,2,4,2,1,99
1,49,1,79,45,1,2,1,66,2,9,3,2,2,2,4,5,2,1,66
1,40,1,67,35,1,0,6,6,1,7,2,3,3,2,3,3,4,1,66
0,18,2,64,6666,1,0,6,6,3,5,2,3,2,2,4,3,5,1,66
0,22,2,48,6666,1,0,6,6,1,10,1,3,3,1,3,2,3,8,66
1,40,1,67,6666,1,0,6,6,1,8,2,3,6,2,1,3,2,1,66
1,41,1,72,15,1,0,6,6,1,5,4,1,5,2,2,5,3,1,66
1,46,1,66,50,1,0,6,66,3,7,2,3,5,2,3,2,4,1,66
1,63,2,666,6666,1,3,2,66,3,7,2,3,2,2,3,3,5,1,66
1,52,2,78,40,1,0,6,6,3,5,2,3,5,2,2,5,4,1,99
0,52,2,75,10,1,0,6,4,3,7,3,2,4,2,1,3,2,5,66
1,56,2,86,2,1,2,1,66,4,7,2,3,6,2,2,3,2,1,66
1,30,1,50,40,1,0,6,6,1,7,3,3,2,2,2,3,3,1,66
1,44,2,67,90,1,1,2,4,3,4,3,1,4,2,2,1,2,1,66
1,30,1,56,5,1,0,6,6,3,8,2,3,2,1,4,2,4,1,66
1,39,2,66,5,1,1,1,4,1,5,3,3,2,2,3,2,2,1,66
1,24,1,47,2,1,0,6,6,4,8,2,3,4,2,2,2,3,1,66
1,52,1,666,6666,1,2,2,66,4,10,2,3,3,1,3,1,5,1,66
0,38,2,60,6666,1,0,6,66,1,8,3,3,1,1,4,1,6,2,66
1,53,2,666,6666,1,2,1,66,1,8,3,3,6,2,4,3,1,1,66
1,52,1,82,300,1,2,1,66,5,8,2,3,6,1,3,3,3,1,66
1,25,1,55,420,1,0,6,6,1,8,1,3,2,2,1,3,4,1,2
1,30,1,55,23,1,0,6,66,1,10,1,3,6,1,2,2,4,1,66
1,21,1,40,90,1,0,6,6,1,8,1,3,4,2,2,5,3,1,1
1,48,1,71,15,1,2,1,6,3,9,2,3,6,1,3,4,2,1,66
1,43,2,65,90,1,0,6,6,3,5,2,3,2,1,2,3,2,1,66
1,56,2,80,15,1,1,1,66,1,9,3,1,4,1,3,2,2,1,66
1,30,2,57,40,1,0,6,4,3,6,1,3,5,1,1,2,4,1,66
1,50,2,74,10,1,1,1,4,1,9,2,3,3,1,2,3,4,1,66
1,35,2,59,40,1,0,6,6,1,8,1,3,4,1,3,1,3,1,66
1,38,2,79,20,1,0,6,6,5,5,2,3,6,2,2,6,1,8,66
1,30,1,52,60,1,0,6,6,3,9,3,2,5,1,2,3,5,1,66
1,49,2,75,2,1,3,2,5,4,5,3,3,4,3,4,3,3,1,66
1,48,1,81,30,1,0,6,66,1,10,2,3,4,2,3,3,2,2,66
1,34,1,60,100,1,0,6,6,1,6,2,3,4,1,1,3,2,1,66
0,64,1,666,6666,1,3,2,66,4,5,2,3,5,2,2,5,3,4,66
1,41,1,60,10,1,1,1,6,1,10,3,2,3,1,3,2,4,6,66
1,28,1,55,60,1,0,6,6,3,3,3,3,4,2,2,2,2,1,66
0,58,2,666,6666,1,0,6,6,3,2,4,1,6,2,2,4,2,4,66
1,50,2,666,6666,1,2,1,66,4,7,2,3,2,1,4,2,1,1,66
1,58,2,666,6666,1,1,2,5,1,3,3,2,6,3,1,4,1,1,66
1,40,2,72,30,1,0,6,6,1,3,2,3,2,2,3,1,2,2,66
1,60,2,87,19,1,2,2,66,3,9,2,3,5,2,3,1,2,1,66
1,30,1,61,120,1,0,6,6,2,10,2,3,4,1,3,4,5,1,66
1,55,1,666,6666,1,4,2,4,3,9,1,3,4,2,1,3,2,1,66
1,63,1,666,6666,1,1,2,4,5,2,2,3,1,2,1,6,5,1,66
1,48,2,85,90,1,0,6,6,1,8,1,3,2,1,2,3,5,1,66
1,56,1,81,15,1,2,2,4,4,7,2,3,5,2,2,2,2,1,66
0,62,2,666,6666,1,4,2,66,1,5,2,3,6,1,1,2,4,1,66
0,60,1,666,6666,1,2,2,1,3,1,3,2,5,3,2,5,2,4,66
1,34,1,58,900,1,0,6,66,1,8,1,3,3,1,1,1,1,1,66
1,36,1,666,6666,1,0,6,66,4,9,2,3,4,2,2,4,2,1,66
1,47,2,75,30,1,0,6,6,1,8,1,3,5,2,2,2,2,1,66
1,57,1,86,90,1,3,2,4,4,9,3,3,2,1,4,3,5,1,66
1,40,1,68,15,1,0,6,6,4,4,2,3,5,2,2,4,3,1,66
1,35,2,70,10,1,1,1,6,4,6,1,3,2,1,4,2,6,1,66
1,42,1,65,10,1,0,6,6,3,8,2,3,2,2,2,3,3,1,66
1,62,1,87,5,1,2,2,66,4,8,2,3,3,2,3,2,2,1,66
1,20,2,46,6666,1,0,6,6,2,3,2,3,3,3,3,4,5,1,66
1,49,1,70,30,1,1,2,6,4,6,1,3,4,1,2,3,3,1,66
1,51,2,69,45,1,3,1,66,1,9,2,3,5,2,3,1,4,1,66
1,33,2,54,150,1,0,6,6,3,4,4,1,2,3,2,1,4,1,66
1,42,2,68,150,1,2,1,6,3,10,2,3,6,1,2,1,5,1,66
1,41,1,69,120,1,0,6,6,1,8,2,3,5,2,2,3,4,1,66
1,60,1,88,240,1,1,1,66,4,10,2,1,1,2,2,5,2,2,66
1,47,2,69,45,1,2,2,66,2,6,2,3,1,2,3,2,2,1,66
1,63,2,86,60,1,1,2,5,1,4,1,3,4,2,3,8,2,1,66
1,39,1,67,3,1,0,6,6,1,9,3,3,3,1,2,1,3,1,66
1,46,1,72,20,1,2,2,66,1,10,2,3,3,1,2,3,3,1,66
1,50,1,70,720,1,1,2,66,1,5,1,3,2,3,3,2,2,1,66
1,25,2,50,240,1,0,6,6,1,10,1,3,3,1,3,4,3,1,66
1,25,1,50,6666,1,0,6,6,3,88,2,3,1,2,2,5,4,1,66
0,56,1,666,6666,1,3,2,4,4,4,3,1,4,3,3,5,2,4,66
0,19,1,50,6666,1,0,6,6,3,10,1,3,4,1,3,2,1,1,66
1,34,1,60,1,1,0,6,66,1,10,3,3,5,2,3,3,5,1,66
1,33,2,62,15,1,0,6,6,1,88,2,3,5,2,3,2,2,1,66
1,30,1,58,25,1,0,6,6,5,8,2,3,3,2,3,2,6,1,66
1,31,2,54,240,1,0,6,6,1,7,2,3,4,2,3,2,4,2,66
1,60,2,88,10,1,1,1,4,2,9,2,3,2,2,2,5,6,1,66
1,41,2,68,60,1,0,6,66,4,5,2,3,3,2,3,2,3,1,66
1,58,2,80,6666,1,1,2,66,4,6,2,2,3,2,4,2,6,1,66
1,27,1,53,60,1,0,6,6,5,8,2,3,2,2,3,2,4,1,66
1,44,2,68,30,1,1,1,6,1,6,2,2,3,2,3,3,2,1,66
0,35,1,60,8888,1,0,6,6,1,3,3,2,3,2,2,2,3,4,66
1,45,1,666,6666,1,2,1,66,1,8,2,3,4,1,4,2,2,1,66
0,38,1,61,30,1,1,1,66,3,4,3,3,2,2,4,4,2,1,66
1,43,1,70,60,1,1,2,4,1,9,2,3,3,2,3,3,4,1,66
1,33,2,59,90,1,0,6,66,1,8,2,3,2,2,2,3,4,1,66
1,35,1,62,6666,1,0,6,6,1,9,1,3,5,1,3,4,2,1,66
1,37,1,63,1200,1,0,6,6,2,5,2,3,2,2,2,1,4,1,66
1,23,1,666,6666,1,0,6,66,4,8,3,3,1,2,2,5,1,1,66
0,61,2,666,6666,1,2,2,66,1,5,3,3,5,2,2,2,2,4,66
0,48,1,73,20,1,0,6,4,3,1,2,3,5,4,5,5,2,7,66
0,64,2,89,150,1,2,2,1,1,3,2,3,5,2,3,2,2,4,66
1,26,2,52,120,1,0,6,6,3,9,2,3,2,1,3,1,4,1,66
0,31,2,55,20,1,0,6,66,2,9,1,3,3,1,3,1,5,5,8
1,44,1,59,20,1,3,2,6,3,5,2,3,2,2,4,4,3,1,66
1,39,2,666,6666,1,1,2,6,3,4,3,1,1,2,3,1,2,1,66
1,51,1,76,30,1,3,2,66,5,8,3,2,5,1,4,3,3,2,66
1,31,1,64,10,1,0,6,6,4,9,3,3,4,2,2,1,2,1,66
1,21,2,55,90,1,0,6,6,1,9,2,3,1,1,1,3,1,1,66
1,51,2,80,180,1,2,1,6,1,10,2,3,4,2,3,3,3,1,66
0,65,2,666,6666,1,2,1,4,1,3,4,1,2,2,2,5,5,4,66
0,47,1,66,6666,1,0,6,6,4,4,3,2,2,3,1,1,2,4,66
1,36,2,60,50,1,0,6,4,1,7,1,3,2,2,3,1,3,1,66
1,58,2,82,30,1,2,2,66,1,8,2,3,5,2,3,4,5,1,66
1,32,1,64,30,1,0,6,6,3,9,3,2,4,1,2,3,4,1,66
0,34,1,666,6666,1,0,6,6,3,77,3,2,5,2,2,5,2,6,66
1,54,1,75,25,1,1,1,66,4,7,2,2,4,3,3,5,3,1,66
1,55,1,79,4320,1,0,6,66,2,10,1,3,5,1,4,3,2,1,66
1,39,2,78,6666,1,0,6,66,3,9,1,3,3,1,3,1,5,1,66
1,36,1,60,40,1,1,1,66,1,5,2,3,4,2,3,5,4,1,66
1,52,1,80,5,1,1,2,4,1,5,2,3,3,2,3,1,2,1,66
1,33,2,59,60,1,0,6,6,1,9,1,3,4,1,2,2,4,1,66
1,34,1,56,5,1,1,1,66,3,7,2,3,2,2,3,2,2,1,66
1,57,2,80,100,1,4,2,66,4,4,2,3,3,2,2,3,1,6,66
1,32,2,70,15,1,0,6,66,1,8,2,3,5,2,2,3,3,1,66
