pdwrk,agea,gndr,agepnt,ttminpnt,acchome,chldo12,hhlio12,marsts,domicil,hinctnta,health,hlthhmp,ipadvnt,hincfel,sclact,ipcrtiv,ipmodst,hincsrca,mnactp
0,63,2,666,6666,1,5,2,66,4,88,2,3,5,2,4,3,3,3,66
1,25,1,65,6666,1,0,6,6,1,5,1,3,4,2,2,4,3,1,66
0,22,2,47,100,1,0,6,6,3,4,3,2,2,4,1,3,1,6,66
1,57,1,77,6666,1,1,2,4,4,7,3,2,3,1,3,3,4,1,66
1,65,1,666,6666,1,1,2,66,1,10,2,2,2,1,5,3,3,1,66
1,61,1,666,6666,1,1,1,66,4,88,2,3,3,2,2,2,3,1,66
1,58,2,86,5,1,0,6,66,4,7,4,2,5,2,4,3,2,1,66
0,23,1,45,6666,1,0,6,6,1,7,2,3,4,1,3,5,2,1,66
0,19,1,37,6666,1,0,6,6,1,88,1,3,5,2,2,1,5,88,66
1,35,1,58,5,1,0,6,6,4,8,2,3,1,1,2,2,1,1,66
1,49,1,75,15,1,0,6,4,3,8,2,3,3,2,2,2,3,4,66
1,47,2,76,7777,1,3,1,66,4,7,2,3,5,1,2,3,2,1,66
0,50,2,75,15,1,2,1,66,2,7,4,1,6,3,1,3,2,1,66
0,39,2,69,300,1,0,6,66,2,6,1,3,4,1,4,4,2,1,66
1,58,1,80,2400,1,1,2,66,1,4,2,3,4,2,2,5,2,1,66
1,30,2,60,7777,1,0,6,6,3,7,1,3,3,2,4,2,3,1,66
1,60,2,666,6666,1,2,2,66,4,77,2,3,4,1,2,2,1,2,66
0,62,1,84,5,0,3,2,66,3,7,2,2,5,2,3,1,2,4,66
0,52,1,666,6666,1,1,2,6,4,2,4,2,3,2,3,2,2,6,66
0,19,2,49,6666,1,0,6,6,4,88,2,2,4,2,2,1,2,1,66
0,41,2,68,10,1,0,6,6,3,3,3,3,5,4,3,2,1,6,66
0,22,1,888,6666,1,0,6,6,4,88,2,3,4,1,2,4,3,4,66
1,39,2,63,5,1,1,1,6,4,4,2,3,4,2,2,1,1,1,66
1,31,2,61,6666,1,0,6,6,3,88,3,2,4,1,2,4,2,88,66
0,63,1,666,6666,1,2,2,66,3,5,2,3,4,2,3,3,2,4,66
1,35,1,61,15,1,0,6,6,4,8,2,3,3,1,2,4,1,1,66
1,29,2,63,10,1,0,6,6,4,8,2,3,3,1,4,3,3,1,66
0,30,1,66,7,1,0,6,6,4,2,2,1,2,1,3,1,2,5,66
1,43,1,78,45,1,2,1,66,1,9,2,3,3,1,2,3,2,1,66
1,31,1,58,3,1,0,6,6,5,9,2,3,2,2,1,2,1,1,66
0,30,2,58,15,1,0,6,66,2,6,3,3,5,2,4,1,2,1,66
0,57,2,79,10,1,2,2,66,4,6,4,1,5,2,3,3,2,1,66
1,58,1,666,6666,1,1,2,4,4,88,1,3,8,1,5,4,8,1,66
1,42,2,66,1440,1,0,6,66,1,3,1,3,5,3,5,1,1,1,66
1,41,2,72,20,1,0,6,6,4,8,2,3,4,2,5,2,2,1,66
1,33,2,65,60,1,0,6,6,4,5,1,3,5,1,3,2,2,1,66
1,58,1,666,6666,1,4,2,66,5,5,3,3,2,1,4,1,2,1,66
0,20,1,55,30,1,0,6,6,2,5,1,3,2,1,3,2,3,1,66
1,18,2,46,6666,1,0,6,6,4,7,2,2,3,2,4,2,2,2,66
1,27,2,56,6666,1,0,6,6,5,10,2,3,4,1,2,4,2,1,66
1,44,2,64,1620,1,2,1,66,4,6,2,1,5,3,2,1,2,1,66
1,44,1,70,20,1,0,6,6,3,4,2,3,4,1,2,3,2,1,66
1,51,1,71,10,1,2,1,66,4,8,5,1,2,1,1,2,1,1,66
0,60,1,78,1020,1,3,2,4,4,2,3,2,2,4,2,2,2,8,66
0,48,1,65,30,1,3,1,66,1,2,2,3,5,3,2,1,4,5,66
1,60,2,88,20,1,1,2,66,3,8,3,3,5,1,2,3,4,1,8
1,49,1,72,5,1,3,2,4,2,6,2,3,1,3,5,1,3,1,66
1,34,2,72,15,1,1,9,6,4,5,1,3,3,2,4,3,1,1,66
0,27,1,72,6666,1,0,6,6,1,88,1,3,2,2,1,2,1,88,66
1,28,1,51,60,1,0,6,6,3,3,1,3,2,2,4,1,2,1,66
1,42,1,76,75,1,2,1,66,5,8,2,3,3,2,3,2,2,1,66
1,41,1,75,240,1,0,6,6,3,9,2,2,4,1,2,2,1,1,66
0,59,2,666,6666,1,2,2,66,4,6,3,2,3,2,4,2,2,1,66
0,61,2,666,6666,1,0,6,4,1,6,3,3,2,2,2,2,3,4,66
1,29,2,56,15,1,0,6,6,4,4,2,3,3,1,4,2,2,1,66
1,60,1,88,5,1,2,1,66,4,8,2,3,3,1,2,3,2,2,66
0,22,1,48,6666,1,0,6,6,4,4,1,2,2,3,3,4,3,1,66
0,18,2,56,6666,1,77,6,6,1,88,2,3,4,1,4,4,2,1,66
0,54,1,666,6666,1,0,6,4,1,1,3,1,2,4,2,4,2,8,66
0,65,1,666,6666,1,4,1,66,4,3,4,2,3,3,3,2,1,4,66
0,64,1,666,6666,1,2,2,66,4,77,2,3,3,1,3,3,5,4,66
1,28,1,61,20,1,0,6,6,4,4,2,2,2,3,3,1,2,1,66
0,18,2,51,6666,1,0,6,6,3,88,1,3,1,2,5,2,2,1,66
0,23,2,49,6666,1,0,6,6,1,8,3,2,3,1,2,3,4,1,66
1,62,2,666,6666,1,2,1,4,2,5,4,3,4,4,2,2,2,1,66
1,36,2,62,5,1,0,6,66,4,8,2,3,2,1,3,3,2,1,66
0,19,1,56,6666,1,0,6,6,3,4,2,3,2,1,3,2,2,1,66
1,35,2,69,30,1,0,6,66,3,9,1,3,5,1,4,1,3,1,66
1,50,1,78,60,1,2,1,66,4,9,2,3,4,1,3,3,3,1,66
1,51,2,88,60,1,2,2,4,3,7,2,3,4,2,3,2,2,1,66
1,56,2,90,20,1,4,1,66,5,8,1,3,4,1,3,5,2,2,66
1,24,2,57,6666,1,0,6,6,4,8,1,3,3,1,3,5,3,88,66
1,30,1,56,6666,1,0,6,6,3,7,2,3,5,2,2,4,3,1,66
0,19,1,58,6666,1,0,6,6,4,88,2,3,4,1,2,3,2,1,66
1,39,2,64,40,1,0,6,66,4,7,1,3,1,2,4,1,2,1,66
1,28,1,60,6666,1,0,6,6,4,77,2,3,5,2,3,4,2,77,66
1,46,1,72,40,1,1,1,66,4,7,3,2,2,2,2,3,2,1,8
0,35,1,59,6666,1,0,6,6,2,6,3,2,5,2,2,2,3,1,66
0,64,2,666,6666,1,0,6,66,4,2,3,3,4,2,4,1,2,4,66
1,59,2,90,20,1,2,2,4,4,2,2,2,4,2,3,3,3,1,66
0,65,1,666,6666,1,3,2,66,4,6,2,2,4,2,2,2,3,4,6
1,25,1,59,6666,1,0,6,6,2,9,2,3,2,1,3,2,3,1,66
1,49,2,666,6666,1,1,1,66,4,10,1,3,4,1,4,1,5,1,66
0,23,1,47,6666,1,0,6,6,2,6,1,3,4,1,2,2,1,1,66
1,55,2,666,6666,1,3,2,66,4,10,1,3,4,1,4,2,2,1,66
1,39,2,63,600,1,0,6,66,3,5,2,3,2,3,4,6,2,1,66
1,53,1,85,40,1,1,1,66,4,6,4,2,4,3,8,2,3,1,66
1,37,2,66,4,1,0,6,6,4,6,1,3,2,2,3,1,3,1,66
1,27,2,53,45,1,0,6,6,3,3,1,3,2,2,3,3,3,1,66
0,62,2,85,5,1,2,2,66,3,5,2,3,4,1,4,1,1,1,66
1,25,1,56,6666,1,0,6,6,3,9,1,3,1,1,3,1,4,2,66
1,51,2,75,30,1,4,2,66,2,10,2,3,3,1,3,2,3,1,66
1,36,2,64,40,1,0,6,66,4,9,2,3,4,2,2,2,2,1,66
1,49,1,666,6666,0,0,6,66,1,4,4,1,3,3,2,3,3,1,66
0,18,1,56,6666,1,0,6,6,4,7,2,3,5,1,1,3,3,1,66
1,37,2,60,40,1,0,6,6,1,3,2,2,4,1,3,1,1,1,66
0,18,2,54,6666,1,0,6,6,3,88,1,3,3,2,5,3,2,1,66
0,58,2,666,6666,1,1,2,66,4,4,4,1,2,1,2,2,2,4,66
1,41,1,72,6,1,0,6,66,2,9,1,3,3,1,4,2,2,1,66
0,63,2,87,10,1,2,2,66,3,9,4,1,3,1,5,2,2,4,66
1,42,1,70,20,1,0,6,6,4,8,2,3,5,1,2,4,3,1,66
0,23,2,54,6666,1,0,6,6,1,7,2,3,2,1,2,1,1,1,66
0,63,1,666,6666,1,0,6,6,4,1,3,1,6,2,2,5,2,5,66
1,50,2,79,5,1,0,6,6,4,4,2,3,3,1,4,2,2,1,66
1,55,2,79,15,1,1,2,66,4,8,2,3,4,3,4,3,2,1,66
1,48,2,74,8888,1,2,1,66,2,6,1,3,2,2,4,4,2,1,66
1,54,1,666,6666,1,1,2,66,4,7,2,3,3,1,4,3,3,1,66
0,20,1,43,6666,1,0,6,99,4,6,1,3,4,1,4,3,2,2,66
1,40,1,70,10,1,1,1,6,4,77,2,3,4,2,4,1,2,77,66
1,41,2,62,5,1,0,6,1,4,7,3,3,4,2,2,2,3,1,66
1,48,1,73,10,1,2,1,4,4,9,2,3,5,1,4,5,5,2,66
1,60,1,83,30,1,1,2,4,5,6,2,3,4,1,3,3,3,1,66
0,57,2,666,6666,1,3,2,4,4,2,4,1,4,4,2,1,1,5,66
1,23,2,60,6666,1,0,6,6,1,5,1,2,3,1,5,2,1,6,66
0,49,1,72,450,1,2,1,66,2,2,3,2,5,3,4,1,1,1,66
1,45,2,73,5,1,2,1,66,3,8,2,3,5,1,3,3,2,1,66
